"","2020-01-31","2020-02-07","2020-02-14","2020-02-20","2020-02-28","2020-03-06","2020-03-13","2020-03-19","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-24","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-12","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-17","2020-12-24","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-06","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-10","2021-06-17","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-09-29","2021-10-08","2021-10-15","2021-10-22","2021-10-27","2021-11-05","2021-11-12","2021-11-19","2021-11-25","2021-12-03","2021-12-10","2021-12-11"
"12","news","just","like","guardian","work","blog","white","president","get","fauci","ventilator","fauci","hello","via","get","ask","tip","hello","damien","touch","news","oklahoma","thank","american","white","biden","pelosi","representative","thank","china","blog","score","campaign","thank","re","election","campaign","joe","house","acknowledge","economy","victory","live","hello","donald","presidentelect","diagnosis","arm","news","mask","australia","morning","via","action","even","david","volunteer","prefecture","email","researcher","ceremony","hour","chile","close","olympic","protester","live","news","emergency","yohannes","hello","back","run","please","around","coverage","catch","image","feel","el","video","scheme","world","roll","treatment","minute","canadian","service","england","development","follow","hello","martin","lucy","bring","colleague","share","samantha","vaccinate"
"13","help","shanghai","sobel","thank","get","will","administration","touch","know","email","us","will","get","us","reopen","suggestion","hello","us","coverage","damien","think","hello","hello","tulsa","colleague","administration","us","fauci","hello","hold","democratic","tip","election","want","touch","county","doctor","negative","president","pelosi","twitter","approach","can","thank","democrat","house","mcenany","presidentelect","minority","everyone","via","free","live","nhs","cat","market","carry","live","scottish","host","japan","will","jedidajah","call","hello","central","everyone","barcelona","colleague","train","police","email","around","thank","spahn","email","live","employment","lose","hacker","pandemic","member","hour","visit","colleague","ppe","thank","argue","thank","rapid","colleague","along","cop","uk","australia","nsw","thank","australia","bring"
"14","go","email","delegate","track","good","thank","term","think","china","american","really","brief","twitter","tip","president","message","take","tweet","feel","thank","touch","york","re","pub","send","pandemic","national","congress","vote","want","please","white","blog","blog","get","campaign","positive","twitter","deputy","please","get","chief","email","holiday","blog","election","press","catch","lópez","group","please","london","thought","london","action","otte","feel","ease","story","schedule","tokyo","student","colleague","thank","suga","park","announcement","drink","thank","mattha","email","today","colleague","follow","feel","north","tip","woman","society","mexico","global","fall","tip","read","can","winter","tip","deprive","shortage","along","politic","australia","london","cop","hello","late","hour","bring","blog"
"15","twitter","good","next","get","people","please","donald","combat","white","question","look","president","can","comment","wind","via","get","wear","hello","message","via","president","message","president","republican","hello","texas","vote","american","comment","election","lópez","presidential","touch","twitter","good","tweet","blog","triangle","update","vote","donald","us","vote","name","touch","blog","colleague","live","comment","voice","email","resident","england","video","touch","celebration","jamaica","travel","lanka","thomas","cell","distance","blog","way","uk","arrest","behave","coverage","nurse","draw","hello","follow","morning","street","bangladesh","hello","uk","government","development","terminal","failure","nigeria","page","carnival","item","long","close","warn","nurse","coverage","samantha","politic","politic","martin","martin","global","tip","catch"
"16","read","people","nurse","stage","bad","everyone","declare","theatre","news","ask","american","want","president","president","dr","coverage","coverage","live","cuomo","waiver","rally","biden","twitter","live","share","president","doctor","administration","via","touch","vote","share","joe","abc","fraud","texas","senator","test","donald","comment","tip","thank","house","helen","dr","rudy","kiss","hand","via","final","south","officer","test","officer","event","sister","toronto","email","news","pregnancy","cycle","osaka","vallance","lockdown","tip","man","let","six","ford","read","london","dublin","can","twitter","gender","street","sparrow","next","catch","news","world","expose","university","story","dedicate","service","please","fund","coronavirus","even","australia","pressure","hello","tip","free","sydney","new","sparrow","email"
"17","post","moment","call","tweet","lot","tip","really","follow","tip","twitter","house","thank","reopen","go","touch","gayle","leader","cuomo","live","everyone","share","ever","see","cuomo","florida","colleague","governor","lawmaker","democrat","donald","ballot","news","email","donald","didnt","negative","walter","event","campaign","us","back","live","donald","york","congress","president","senior","coverage","email","crisis","thing","fine","drop","today","date","jedidajah","charles","story","game","research","romania","re","can","coverage","touch","thank","british","celebration","now","afternoon","uk","cover","delhi","around","body","around","mexico","power","tip","needle","analysis","hesitancy","fight","hello","win","dr","time","find","support","gp","uk","lock","round","please","today","touch","andrew","welcome","feel"
"18","hancock","israeli","office","moment","thing","donald","act","base","re","mean","question","back","question","live","us","thank","president","coverage","let","always","tulsa","really","republican","rally","administration","want","hydroxychloroquine","november","republican","tip","mail","everyone","via","away","november","biden","reed","democratic","biden","go","thank","good","news","election","white","top","journalist","hello","die","coverage","africa","like","area","house","arrest","factory","via","japan","dutch","play","live","please","team","distance","nikkei","head","email","party","street","hour","everything","take","caroline","development","compare","increase","development","lose","america","free","australia","nsw","pandemic","live","francis","along","twitter","poll","now","javid","now","far","join","email","continue","bryant","politic","colleague","free"
"19","think","speak","event","try","control","email","penny","different","really","reporter","ask","state","state","governor","soon","re","can","comment","message","next","amc","comment","email","next","message","everyone","hanna","security","share","talk","twitter","touch","book","mask","death","saturday","negative","fauci","fauci","around","campaign","senate","get","fact","house","republican","tweet","republican","force","lópez","member","hong","hello","breach","climate","business","person","safe","mix","touch","flood","organiser","test","event","game","way","twitter","shortly","touch","late","colleague","uk","sparrow","free","live","nicola","take","rest","tanzania","violate","life","back","shortage","close","range","please","coverage","scottish","wellbeing","hydroxychloroquine","england","coverage","morning","touch","live","number","campbell","school","share"
"20","story","twitter","since","want","like","white","will","donald","helen","task","think","everyone","live","administration","republican","tip","live","governor","either","york","thank","california","can","please","comment","governor","question","treasury","security","us","thank","comment","poll","hello","ballot","party","oxygen","presidential","department","news","state","speech","hand","colleague","bill","arizona","take","establish","touch","aboriginal","supreme","news","colleague","artist","collect","video","visitor","nsw","allow","email","sullivan","moment","rest","today","now","news","migrant","region","even","run","message","ireland","email","woman","man","today","andrew","fuel","read","migrant","hello","main","trump","community","guardian","demand","payment","bus","isolate","ward","patient","around","world","headline","belam","bring","will","uk","tip"
"21","blog","reach","track","room","center","sarahmarshjournalist","conference","important","dr","know","send","birx","colleague","colleague","penny","touch","white","mask","suggestion","exposure","can","arizona","live","england","effort","birx","obrien","washington","press","coverage","colleague","production","bob","joe","mail","job","penny","happen","sydney","much","call","news","caroline","sullivan","senate","transition","want","american","help","make","message","die","everyone","honour","fire","mountain","live","will","update","cover","bubble","head","roadmap","feel","coverage","coverage","close","city","around","even","will","welcome","late","news","colleague","reminder","please","read","crisis","policy","hour","colleague","martin","belgian","oxygen","concern","every","loss","health","lead","bring","hour","run","london","politic","line","ready","touch","touch"
"22","reach","call","cancel","national","ask","sarahmarshtheguardiancomtwitter","design","like","house","press","prime","now","coverage","email","development","email","thank","white","gayle","campaign","get","american","everyone","break","anthony","downplay","share","twitter","house","propose","speaker","via","hand","national","please","get","feel","us","mat","tip","white","get","via","inauguration","thank","hello","brief","senior","hope","wear","make","north","london","mitsotakis","organise","broadcaster","welcome","schedule","football","football","base","coverage","ask","set","start","human","away","extraordinary","maintain","message","touch","table","martin","five","reason","world","doctor","andrew","southeast","economy","suffer","please","chip","go","paul","coverage","wait","pakistan","woman","lupus","story","round","shortly","hello","hour","belam","late","lucy","welcome"
"23","outbreak","english","precaution","close","live","sloumarshinstagram","screen","start","birx","can","thought","share","washington","ask","live","back","democrat","touch","get","comment","wear","can","really","texas","discredit","campaign","washington","sign","blog","london","postal","sloumarshinstagram","fauci","email","pandemic","never","joe","touch","commissioner","former","re","bidens","today","tip","email","please","hour","will","guardian","deal","policy","reach","screen","notice","party","account","catch","cuba","document","will","date","attendee","roll","show","washington","near","holiday","can","fire","healthcare","can","line","read","inmate","alarm","research","protest","world","development","border","policy","rollout","recovery","act","visit","believe","summary","trust","development","warn","develop","politic","nsw","round","london","andrew","touch","let","buy"
"24","please","friend","can","contact","havent","outbreak","emergency","april","now","live","blog","organization","redfield","can","hello","direct","everyone","republican","york","attendee","next","tip","los","reopen","hill","twitter","think","via","always","next","development","representative","colleague","us","feel","let","good","tweet","wong","sloumarshinstagram","just","former","send","morning","message","lawmaker","administration","us","wear","consultation","clapham","development","thank","regulation","next","blog","vietnam","blog","supporter","stay","schedule","team","twitter","level","hand","plane","protest","authority","run","can","yohannes","thought","world","martin","owner","food","global","rollout","many","regional","free","line","can","program","along","thank","fix","choice","lead","catch","cover","due","belam","story","number","tip","coronavirus","martin","eight"
"25","many","advice","medium","like","find","fauci","job","difficult","email","pakistan","can","company","job","helenrsullivan","hour","line","direct","feel","everyone","suggestion","president","fee","mask","california","california","can","claim","bill","party","look","democrat","sarahmarshjournalistemail","house","go","mandate","democrat","saturday","election","anao","speech","count","carson","degree","next","jersey","team","top","touch","coverage","iran","coverage","regulation","news","block","organiser","normally","president","plan","welcome","tourism","work","stadium","please","coronavirus","slow","tip","simple","coverage","miss","feel","late","please","update","mattha","restriction","drop","twitter","tip","world","tip","read","star","animal","cover","present","value","research","hide","catch","affect","please","live","covid","coverage","touch","victoria","front","news","normal"
"26","contact","lot","everyone","covid","guardian","seem","list","test","american","penny","twitter","live","now","suggestion","comment","colleague","charge","state","always","gayle","story","houston","get","county","expert","obrador","mask","doctor","response","email","comment","sarahmarshtheguardiancom","hello","hall","party","hello","diagnosis","live","refer","fee","iowa","helen","just","run","obama","blog","president","next","deadly","explain","protect","nigeria","comment","fix","read","cultural","committee","economy","hundred","date","helen","declare","olympic","pandemic","colleague","andrew","martin","email","top","everyone","break","management","next","coverage","world","economic","hour","politic","roll","coverage","feel","rise","thank","economic","overwhelm","survey","late","dance","pressure","go","cost","respiratory","colleague","thought","sydney","please","sparrow","covid","edinburgh"
"27","question","yearold","read","medium","can","really","need","ask","drug","think","will","go","please","scarf","anthony","anthony","us","damien","governor","oklahoma","donald","something","indoor","tip","convention","york","administration","drug","twitter","democratic","legislation","renter","twitter","join","think","serve","miller","debate","rally","complain","touch","secretary","back","mother","bidens","tip","write","help","equipment","question","thank","thought","house","penalty","hello","song","will","committee","break","morning","range","registration","link","japanese","next","gather","shelter","hundred","uk","coverage","nicola","focus","london","permanent","launch","pandemic","mattha","care","write","pandemic","meantime","world","hello","kim","leave","emergency","catch","welsh","even","uk","news","budget","global","sparrow","tip","will","cooperation","enough","dedicate"
"28","lot","live","miss","designate","force","airline","people","everyone","helenrsullivan","drug","president","american","press","look","open","think","senate","suggestion","donald","tulsa","york","message","mayor","today","house","always","press","discuss","democratic","please","meadow","thank","democratic","george","us","abbott","election","via","estimate","sarahmarshjournalistemail","always","colleague","sloumarshinstagram","live","cnn","search","email","party","hello","interest","read","deep","touch","area","woman","pass","twitter","ireland","ireland","trigger","organise","antibody","take","cancellation","domestic","spokeswoman","now","like","towards","development","aid","police","contact","global","market","datum","around","lockdown","cuba","nurse","share","along","record","emergency","town","hour","andrew","people","top","call","can","join","next","hour","sparrow","politic","next","world","budget"
"29","contain","story","think","campus","really","bill","detail","can","level","hydroxychloroquine","speedy","touch","thank","tweet","arizona","reopen","michigan","take","hour","via","sloumarshinstagram","advance","please","campaign","please","live","facebook","letter","leader","republican","presidential","want","thank","town","london","information","rally","please","security","sarahmarshtheguardiancom","democratic","event","sarahmarshjournalistemail","president","coverage","white","york","provide","army","without","blame","african","ramaphosa","israels","shop","frances","prove","executive","need","bangladesh","activity","may","event","host","japanese","date","please","crowd","everything","gather","run","twitter","resident","school","free","independent","meantime","email","meantime","lazio","study","investor","scott","north","hour","covid","meal","keep","form","close","comment","follow","launch","share","rundown","sparrow","busy","thank","thought"
"30","far","protect","email","email","fund","democrat","email","now","great","call","minister","really","tip","thing","focus","live","obama","pull","want","get","helenrsullivan","live","sharp","touch","helen","republican","cure","amp","brief","can","via","like","always","time","donald","debate","mike","hall","say","inquiry","email","will","sarahmarshtheguardiancom","college","chief","list","army","email","final","message","live","possibility","morning","thing","fine","face","late","emergency","thousand","please","may","date","head","governor","california","yearold","despite","let","break","system","central","hour","halfterm","via","recent","role","blame","suggestion","die","thousand","now","dollar","email","southern","development","search","hamper","aid","pandemic","politic","admit","please","email","andrew","welcome","world","victoria","belam","threaten"
"31","concern","video","lot","experience","president","mike","look","last","comment","helenrsullivan","re","look","comment","cuomo","next","american","update","message","can","seawatch","sarahmarshjournalistemail","always","colleague","everyone","peter","effort","carolina","ten","conference","trade","hour","donald","job","get","happen","page","person","news","airport","amy","something","aid","presidentelect","warning","team","mayor","republican","resume","send","mandatory","world","serve","crowd","want","feel","turn","plan","document","much","body","road","distance","important","really","row","operate","hello","agree","stay","tip","quickly","global","item","good","police","displace","economic","apologise","protect","launch","find","furlough","rally","development","emergency","crowd","miss","harry","cancer","step","form","story","today","tom","please","hour","everyone","overnight","politic"
"32","hard","us","criticise","happen","point","good","happen","list","development","sullivan","lot","twitter","york","testify","colleague","us","vote","either","convention","please","sarahmarshtheguardiancom","guardian","tweet","take","sullivan","please","view","expert","visit","get","pass","us","white","change","campaign","un","update","email","issue","get","house","effort","presidential","get","ask","attend","biden","church","please","response","arrest","global","prayer","event","force","even","station","still","hold","soon","tip","completely","may","update","credit","legal","wish","back","every","email","everyone","message","hospitality","hand","may","british","today","global","technical","blog","economic","straight","labour","wale","university","colleague","run","ambulance","delay","coronavirus","eye","thank","along","join","thank","australia","state","campbell","employment"
"33","matt","happen","describe","lockdown","coverage","hello","say","design","trial","something","live","tip","say","deal","reporter","comment","response","mcenany","deploy","hour","close","seat","county","biden","newsom","office","wall","national","read","november","accuse","give","feel","can","president","secretary","cnn","republican","speaker","th","good","think","next","hand","infectious","familiar","touch","democrat","colleague","morning","safe","leader","global","many","ahead","officer","virtual","decline","saturday","like","cup","test","hello","venue","date","street","touch","shut","police","contribution","office","tip","hajj","close","late","risk","officer","pandemic","please","powerful","mexican","outlook","development","covid","prof","general","night","king","please","covid","coronavirus","run","news","belam","email","along","follow","politic","interval"
"34","possible","fight","advice","surprise","hand","live","ask","new","think","next","summary","email","economy","really","mike","task","hour","democrat","love","read","read","touch","coverage","share","email","press","late","evidence","november","mail","kill","unemployment","hour","like","democrat","head","appear","guardian","sutton","vicepresident","update","american","coverage","name","guidance","morning","draw","assist","square","email","turn","welcome","china","act","everyone","form","pass","penalty","give","postpone","angeles","inside","otte","success","welcome","now","package","spain","ppe","touch","indian","now","mattha","even","line","colleague","lockdown","now","havent","find","much","mattha","company","along","hard","hospital","pandemic","now","blog","global","lock","warn","line","morning","andrew","miranda","bring","shortly","suppose"
"35","information","uk","long","summary","everyone","impact","re","lead","something","conference","everyone","today","ask","development","governor","vaccine","next","can","american","question","mask","headline","angeles","pint","thank","reopen","weekend","senate","parliament","colleague","touch","attention","create","good","poll","blog","aide","key","thank","important","missouri","update","fauci","touch","pass","global","hand","relief","respond","mother","guardian","hour","district","thousand","notice","restriction","involve","otte","coverage","along","indigenous","invite","still","measure","successful","injure","london","thank","lowe","shortly","immediately","blair","able","take","lose","mattha","apartment","name","doctor","hundred","nurse","chip","regulator","re","call","pressure","live","crisis","coverage","news","samantha","andrew","short","shortly","headline","carry","along","free","clinician"
"36","usual","today","right","situation","house","ask","decision","email","wuhan","please","whether","anthony","reporter","intelligence","senior","hello","stimulate","now","direct","global","guardian","thank","tip","newsom","get","relative","re","assistance","poll","tour","london","colleague","february","interview","million","tomorrowspaperstoday","democratic","want","commonwealth","send","fauci","administration","joe","take","job","term","please","soldier","scientific","helen","sloumarshinstagram","request","take","tip","touch","vietnam","car","travel","live","different","antiviral","wear","date","reopen","broadcaster","order","even","action","speak","hand","anything","bring","part","world","hundred","tip","suggestion","always","can","suggestion","rural","roll","drive","much","programme","site","nhs","almost","capacity","comment","global","finish","please","update","victoria","every","news","will","campbell"
"37","monitor","summary","reach","give","yet","washington","fauci","york","top","force","message","phase","immigration","birx","move","damiengayle","miss","abuse","toilet","direct","global","next","us","email","via","correspondent","conference","take","fresh","take","email","blog","journalist","put","half","colleague","twitter","development","police","speak","important","turn","sydney","sure","twitter","panel","task","chile","robert","sullivan","dutch","everyone","community","touch","world","around","athlete","organiser","road","colleague","hour","shoot","evidence","city","bite","access","break","saturday","make","story","together","freedom","police","protocol","dangerous","twitter","november","line","now","pride","wealthy","june","now","brussels","debate","admit","touch","part","russia","respond","find","progress","australian","along","coverage","back","colleague","mild","lucy"
"38","coronavirus","information","live","standard","repatriate","touch","little","airline","build","way","put","soon","protest","please","re","damiengayletheguardiancom","message","please","damiengayletheguardiancom","line","always","happen","lgbt","farage","touch","share","committee","big","cross","via","harris","live","like","response","share","ask","go","get","purchase","stimulus","message","campaign","crisis","bidens","panel","bidens","will","joe","free","revenue","fee","flag","suggestion","condolence","many","will","garden","via","tip","start","together","military","osaka","rule","send","tough","park","date","friend","take","welcome","find","twothirds","prisoner","email","chronic","body","please","nurse","mexican","close","close","donald","approve","part","today","like","series","global","impact","flu","meantime","emerge","world","morning","today","nurse","around","please"
"39","welcome","apartment","bite","inside","water","little","question","show","colleague","information","wrong","send","texas","interview","birx","jiang","tweet","leader","helen","hold","fee","event","fauci","along","president","claim","dr","position","blame","cross","tn","just","governor","without","thank","live","christie","colleague","debate","fact","know","democrat","kill","message","colleague","will","slow","public","message","world","sarahmarshjournalistemail","inside","hall","law","colleague","link","review","organise","touch","finding","act","difficult","japan","cover","try","urge","free","across","drink","encourage","lead","restaurant","come","wedding","pull","back","human","patient","respond","alex","facebook","mexico","annual","present","west","march","card","trace","close","coverage","attend","every","western","next","ambrose","london","praise","please","similar"
"40","soon","job","hear","blog","tell","action","surprise","online","court","helen","mean","news","maryland","want","senator","president","hear","direct","white","story","send","november","able","really","mandate","democratic","american","spokesman","learn","development","next","cause","rally","next","speech","executive","back","american","affair","criticise","either","democratic","helen","celebrate","expert","executive","herd","blog","always","feel","sarahmarshtheguardiancom","take","neighbourhood","clap","face","tv","full","hello","watch","reach","immunise","love","certificate","send","live","carry","can","front","gather","martin","away","measure","large","penalty","rural","maintain","email","message","security","paso","catch","stop","gown","miss","read","average","colleague","pub","follow","medical","around","put","mr","free","coronavirus","even","belam","good","deliver"
"41","today","name","story","manage","congress","response","touch","overseas","deborah","patient","unite","sport","shortly","hear","news","trial","talk","fact","charlotte","think","worry","everyone","closure","thank","live","putin","congress","push","take","campaign","carolina","american","update","coverage","witness","plan","hour","cnn","mr","administration","via","transition","follow","just","information","temperature","secretary","military","re","expert","disaster","cover","either","sullivan","mount","dozen","launch","pace","english","transfer","round","palau","message","comment","job","set","tourism","touch","job","close","stay","watch","oxford","live","thought","shortly","tower","policy","year","rush","development","mike","abuse","drug","care","poll","treatment","former","dr","symptom","level","keep","sparrow","colleague","good","shortly","world","rest","today"
"42","now","shenzhen","post","question","donald","repeat","important","really","back","good","something","guideline","fauci","think","helen","administration","away","york","story","donald","part","spot","campaign","via","bar","next","hello","rural","tip","decision","relief","halt","touch","tip","vote","catch","still","sloumarshinstagram","focus","email","morning","know","comment","global","today","get","vaccine","support","team","organization","get","suggestion","jordan","rotterdam","picture","cnn","reopen","coverage","tokyo","free","wont","screen","run","life","just","even","colleague","mother","cover","scientist","via","top","oxygen","lgbt","news","follow","shortly","touch","represent","year","wave","meantime","relation","another","hospital","like","hand","bbc","recommend","president","nurse","treasury","row","ambrose","colleague","record","lucy","story","australia"
